Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","45.567071","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","45.865057","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","47.295388","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","48.561831","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","48.974045","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","49.048544","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","48.412842","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","48.224115","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","48.452572","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","49.108143","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","49.495519","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","50.389485","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","51.328135","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","51.348004","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","52.619415","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","54.074585","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","54.938736","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","55.728404","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","56.031352","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","56.994839","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","57.829206","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","58.896992","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","59.448265","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","60.575649","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","61.002755","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","60.59551","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","60.938195","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","61.40007","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","61.98115","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","61.817262","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","60.992825","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","60.838867","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","60.729607","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","61.424908","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","62.219538","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","63.729337","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","63.908126","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","63.381683","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","63.302215","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","64.394838","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","64.951073","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","64.36007","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","64.573627","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","64.891474","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","66.967454","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","70.111204","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","70.438989","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","70.751875","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","70.150941","X","Figure from external organization","base year is 2015"
